,job_title,female_no,male_no,female_yes,male_yes,female_total,male_total,female_yes_ratio,male_yes_ratio
25,Genetics,2.0,2.0,1.0,1.0,3.0,3.0,0.3333333333333333,0.3333333333333333
26,Guard,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.3333333333333333
27,Humpty-Commentary,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.5
28,Laundryer,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
29,Linguist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
30,Loanor,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
31,Magnesium,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
32,Mailer,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
33,Mamlog,2.0,3.0,2.0,1.0,4.0,4.0,0.5,0.25
34,Manager,2.0,1.0,6.0,7.0,8.0,8.0,0.75,0.875
35,Manicure,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
36,Medrate,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
37,Merchandazer,1.0,0.0,1.0,2.0,2.0,2.0,0.5,1.0
38,Methodist,1.0,1.0,3.0,3.0,4.0,4.0,0.75,0.75
39,Minister,1.0,2.0,1.0,0.0,2.0,2.0,0.5,0.0
40,Moniquer,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
41,Officer,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
42,Organist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
43,PTM,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
44,Palette,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
45,Pharmacologist,1.0,1.0,3.0,3.0,4.0,4.0,0.75,0.75
46,Pressecrete,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
47,Prime Minister,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
48,Publisher,2.0,0.0,1.0,3.0,3.0,3.0,0.3333333333333333,1.0
49,Reanimatologist,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
50,Rescuer,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
51,Rheumatologist,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
52,September,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
53,Servant,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
54,Shepherd,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
55,Strider,0.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0
56,Stysiter,2.0,2.0,1.0,1.0,3.0,3.0,0.3333333333333333,0.3333333333333333
57,Swindler,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
58,T-Example,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
59,The cook.,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
60,Tracker,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
61,Volklorist,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
62,accordionist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
63,account,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
64,accountant,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
65,acrocrat,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0
66,actor,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
67,admin,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
68,agronom,1.0,0.0,2.0,3.0,3.0,3.0,0.6666666666666666,1.0
69,allergologist,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
70,ambassador,3.0,0.0,3.0,6.0,6.0,6.0,0.5,1.0
71,analyst,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
72,antagonist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
73,arbitr,1.0,1.0,3.0,3.0,4.0,4.0,0.75,0.75
74,archaeologist,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
75,archiver,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
76,artist,5.0,1.0,8.0,12.0,13.0,13.0,0.6153846153846154,0.9230769230769231
77,assistant,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
78,audience,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
79,author,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
80,back book,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.3333333333333333
81,baker,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
82,banker,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
83,bar-yeriste,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5
84,barber,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
85,bartender,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
86,basketball player,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
87,beletter,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
88,biker,1.0,1.0,4.0,4.0,5.0,5.0,0.8,0.8
89,biologist,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
90,boss,3.0,3.0,1.0,1.0,4.0,4.0,0.25,0.25
91,boxer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
92,bricklayer,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
93,broker,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
94,browser,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
95,businessman,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
96,cardiologist,1.0,1.0,3.0,3.0,4.0,4.0,0.75,0.75
97,cartographer,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
98,cashier,2.0,0.0,1.0,3.0,3.0,3.0,0.3333333333333333,1.0
99,cellocelist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
100,chemist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
101,choreographer,1.0,1.0,3.0,3.0,4.0,4.0,0.75,0.75
102,chromester,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
103,circus,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
104,cleaner,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
105,climber,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
106,commander,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
107,compiler,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
108,composer,0.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0
109,concertmaster,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
110,conductor,4.0,1.0,4.0,7.0,8.0,8.0,0.5,0.875
111,console,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
112,constructor,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
113,consul,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
114,consultant,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
115,controller,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
116,cosmeticologist,0.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0
117,cosmonaut,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
118,counselor,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
119,craftsmen,1.0,0.0,1.0,2.0,2.0,2.0,0.5,1.0
120,customs officer,3.0,0.0,1.0,4.0,4.0,4.0,0.25,1.0
121,dean,3.0,3.0,1.0,1.0,4.0,4.0,0.25,0.25
122,dentist,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0
123,deput,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
124,dermatologist,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0
125,designer,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
126,developer,2.0,2.0,6.0,6.0,8.0,8.0,0.75,0.75
127,device picker,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0
128,dietitian,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0
129,director,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
130,doctor,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
131,doubler,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
132,dramatist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
133,drummer,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
134,economist,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0
135,editor,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
136,educators,0.0,0.0,8.0,8.0,8.0,8.0,1.0,1.0
137,electricity,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
138,employee,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
139,engineer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
140,entrepreneur,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
141,epidemiologist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
142,evaluator,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
143,examer,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0
144,expeditionor,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
145,eyeglass,0.0,1.0,4.0,3.0,4.0,4.0,1.0,0.75
146,farmer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
147,fighter,3.0,3.0,1.0,1.0,4.0,4.0,0.25,0.25
148,figure,0.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0
149,financier,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
150,fireman,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
151,fisherman,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
152,flight technologist,1.0,0.0,1.0,2.0,2.0,2.0,0.5,1.0
153,gangster,3.0,3.0,1.0,1.0,4.0,4.0,0.25,0.25
154,gardener,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
155,guardian,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
156,guide,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
157,gynecologist,0.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0
158,handler,3.0,2.0,0.0,1.0,3.0,3.0,0.0,0.3333333333333333
159,harpist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
160,hockey,0.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0
161,hogitator,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
162,hospital,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
163,iconic,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
164,iguman,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
165,illuminator,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
166,immunologist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
167,inspector,1.0,0.0,1.0,2.0,2.0,2.0,0.5,1.0
168,instructor,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
169,interviews,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
170,interviews ▸üer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
171,investigater,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0
172,journalist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
173,juggler,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
174,kraenist,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
175,kur likeer,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
176,lab,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
177,landscaper,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0
178,law enforcement,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
179,lawyer,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
180,lecturer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
181,letterpresser,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
182,librarian,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
183,lieutenant,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
184,lithographer,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
185,lithor,4.0,3.0,0.0,1.0,4.0,4.0,0.0,0.25
186,logger,2.0,2.0,1.0,1.0,3.0,3.0,0.3333333333333333,0.3333333333333333
187,loginr,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
188,manager,1.0,0.0,6.0,7.0,7.0,7.0,0.8571428571428571,1.0
189,manifest,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
190,manipulater,0.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0
191,marketing,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
192,marooner,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
193,massager,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
194,math,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
195,maxer,1.0,1.0,3.0,3.0,4.0,4.0,0.75,0.75
196,medium,3.0,2.0,1.0,2.0,4.0,4.0,0.25,0.5
197,mentor,1.0,0.0,7.0,8.0,8.0,8.0,0.875,1.0
198,meteorologist,1.0,1.0,3.0,3.0,4.0,4.0,0.75,0.75
199,military,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
200,miner,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
201,modeler,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
202,mortar,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
203,motorist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
204,museum,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0
205,musician,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
206,mythologist,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
207,newspaper,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
208,obstetrician,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
209,officer,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
210,official,3.0,3.0,6.0,6.0,9.0,9.0,0.6666666666666666,0.6666666666666666
211,ollaringolog,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0
212,on-the-face,0.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0
213,operator,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
214,ophthalmologist,0.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0
215,organizer,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
216,out-of-the-box,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
217,overseer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
218,paleontologist,1.0,0.0,2.0,3.0,3.0,3.0,0.6666666666666666,1.0
219,passer,1.0,1.0,2.0,2.0,3.0,3.0,0.6666666666666666,0.6666666666666666
220,passport,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
221,paster,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
222,pathologist,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
223,patrol,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0
224,payee,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
225,pediatrician,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
226,perfume,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
227,pharmaceutical,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
228,philologist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
229,philosopher,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
230,photo-docker,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
231,photographer,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
232,phraser,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
233,pianist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
234,pilot,0.0,0.0,8.0,8.0,8.0,8.0,1.0,1.0
235,plastic,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
236,player,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
237,poet,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
238,police officer,4.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0
239,political scientist,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
240,politician,0.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0
241,presscffer,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
242,principal,0.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0
243,printer,1.0,1.0,3.0,3.0,4.0,4.0,0.75,0.75
244,producer,2.0,1.0,2.0,3.0,4.0,4.0,0.5,0.75
245,professor,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
246,programmer,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
247,promoter,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
248,proofreader,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
249,prosecutor,1.0,1.0,3.0,3.0,4.0,4.0,0.75,0.75
250,psychiatrist,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0
251,psychologist,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5
252,publicist,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0
253,publisher,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
254,rap,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
255,rect,3.0,2.0,5.0,6.0,8.0,8.0,0.625,0.75
256,referee,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
257,repair man,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0
258,replacement,1.0,1.0,3.0,3.0,4.0,4.0,0.75,0.75
259,reporter,3.0,1.0,5.0,7.0,8.0,8.0,0.625,0.875
260,reserve,2.0,0.0,1.0,3.0,3.0,3.0,0.3333333333333333,1.0
261,resp. . . .,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
262,restorer,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
263,restortor,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
264,reviewer,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
265,scheduler,2.0,2.0,2.0,2.0,4.0,4.0,0.5,0.5
266,scientist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
267,screenkeeper,1.0,1.0,3.0,3.0,4.0,4.0,0.75,0.75
268,seller,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
269,shaper,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
270,shareholder,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0
271,soccer player,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
272,speech therapist,0.0,2.0,4.0,2.0,4.0,4.0,1.0,0.5
273,surgeon,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
274,surveyor,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
275,talker,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
276,teacher,0.0,0.0,12.0,12.0,12.0,12.0,1.0,1.0
277,tester,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
278,therapist,2.0,0.0,2.0,4.0,4.0,4.0,0.5,1.0
279,top,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
280,tour guide,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
281,trainer,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
282,translator,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
283,transporter,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
284,trustee,1.0,0.0,3.0,4.0,4.0,4.0,0.75,1.0
285,tutor,3.0,4.0,5.0,4.0,8.0,8.0,0.625,0.5
286,vocalist,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
287,vs.,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0
288,waiter,1.0,1.0,2.0,2.0,3.0,3.0,0.6666666666666666,0.6666666666666666
289,witch doctor,4.0,2.0,0.0,2.0,4.0,4.0,0.0,0.5
290,wizard,0.0,0.0,4.0,4.0,4.0,4.0,1.0,1.0
291,worker,2.0,2.0,1.0,1.0,3.0,3.0,0.3333333333333333,0.3333333333333333
292,wriggler,2.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0
293,writer,2.0,0.0,10.0,12.0,12.0,12.0,0.8333333333333334,1.0
